﻿Stedtype;StedID;Stedtekst;Referencer;GeoZone;x-koordinat;y-koordinat;Kommune;Region;Medie;Vandområde;Dato;Måling nr;Undersøgelsestype;Teknisk anvisning;Dataejer;Link;Målested navn;Målested GeoZone;Målested, x-koordinat;Målested, y-koordinat;Prøvetagning;Prøve;Prøvetype;Delprøve;Analysefraktion;CASnr;ScKode;Stofparameter;Resultat-attribut;Resultat;Enhed;Detektionsgrænse LD;Kvantifikationsgrænse LQ;Kvalitetsmærke
Station;51000085;KOBBEL Å, BJERGBY ENGE;VSJ520047, NST520047;32;658953;6173560;Holbæk;Region Sjælland;Vandløb;Bregninge/Tuse Å m.fl.;05-08-2024;1;Vandkemi, Vandløb;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/c6666300-c943-4149-9738-98e3b179eb97;NST520047;32;658840;6173438;1;1;Enkeltprøve;1;Opløst - filtrat fra filtrering;;256;Ortho-phosphat-P; =;0,055;mg/l;0,001;0,001;2
Station;51000085;KOBBEL Å, BJERGBY ENGE;VSJ520047, NST520047;32;658953;6173560;Holbæk;Region Sjælland;Vandløb;Bregninge/Tuse Å m.fl.;05-08-2024;1;Vandkemi, Vandløb;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/c6666300-c943-4149-9738-98e3b179eb97;NST520047;32;658840;6173438;1;1;Enkeltprøve;1;Opløst - filtrat fra filtrering;;251;Nitrit+nitrat-N; =;1,7;mg/l;0,005;0,005;2
Station;51000085;KOBBEL Å, BJERGBY ENGE;VSJ520047, NST520047;32;658953;6173560;Holbæk;Region Sjælland;Vandløb;Bregninge/Tuse Å m.fl.;05-08-2024;1;Vandkemi, Vandløb;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/c6666300-c943-4149-9738-98e3b179eb97;NST520047;32;658840;6173438;1;1;Enkeltprøve;1;Total;;253;Nitrogen,total N; =;2,6;mg/l;0,02;0,02;2
Station;51000085;KOBBEL Å, BJERGBY ENGE;VSJ520047, NST520047;32;658953;6173560;Holbæk;Region Sjælland;Vandløb;Bregninge/Tuse Å m.fl.;05-08-2024;1;Vandkemi, Vandløb;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/c6666300-c943-4149-9738-98e3b179eb97;NST520047;32;658840;6173438;1;1;Enkeltprøve;1;Total;;53;Alkalinitet,total TA; =;5;mmol/l;0,05;0,05;2
Station;51000085;KOBBEL Å, BJERGBY ENGE;VSJ520047, NST520047;32;658953;6173560;Holbæk;Region Sjælland;Vandløb;Bregninge/Tuse Å m.fl.;05-08-2024;1;Vandkemi, Vandløb;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/c6666300-c943-4149-9738-98e3b179eb97;NST520047;32;658840;6173438;1;1;Enkeltprøve;1;Total;;312;Jern; =;0,63;mg/l;0,02;0,02;2
Station;51000085;KOBBEL Å, BJERGBY ENGE;VSJ520047, NST520047;32;658953;6173560;Holbæk;Region Sjælland;Vandløb;Bregninge/Tuse Å m.fl.;05-08-2024;1;Vandkemi, Vandløb;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/c6666300-c943-4149-9738-98e3b179eb97;NST520047;32;658840;6173438;1;1;Enkeltprøve;1;Opløst - filtrat fra filtrering;;241;Ammoniak+ammonium-N; =;0,026;mg/l;0,003;0,003;2
Station;51000085;KOBBEL Å, BJERGBY ENGE;VSJ520047, NST520047;32;658953;6173560;Holbæk;Region Sjælland;Vandløb;Bregninge/Tuse Å m.fl.;05-08-2024;1;Vandkemi, Vandløb;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/c6666300-c943-4149-9738-98e3b179eb97;NST520047;32;658840;6173438;1;1;Enkeltprøve;1;Total;;174;BI5; =;1,4;mg/l;0,5;0,5;2
Station;51000085;KOBBEL Å, BJERGBY ENGE;VSJ520047, NST520047;32;658953;6173560;Holbæk;Region Sjælland;Vandløb;Bregninge/Tuse Å m.fl.;05-08-2024;1;Vandkemi, Vandløb;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/c6666300-c943-4149-9738-98e3b179eb97;NST520047;32;658840;6173438;1;1;Enkeltprøve;1;Total;;261;Phosphor, total-P; =;0,11;mg/l;0,003;0,003;2
