﻿Stedtype;StedID;Stedtekst;Referencer;GeoZone;x-koordinat;y-koordinat;Kommune;Region;Medie;Vandområde;Dato;Måling nr;Undersøgelsestype;Teknisk anvisning;Dataejer;Link;Målested navn;Målested GeoZone;Målested, x-koordinat;Målested, y-koordinat;Prøvetagning;Prøve;Prøvetype;Delprøve;Analysefraktion;CASnr;ScKode;Stofparameter;Resultat-attribut;Resultat;Enhed;Detektionsgrænse LD;Kvantifikationsgrænse LQ;Kvalitetsmærke
Station;10903;Charlottenlund;1.03.01.00;32;646711,89;6084152,06;Lolland;Region Sjælland;Jordvand;Loop 1, Højvads rende;22-08-2024;1;Vandkemi, Jordvand;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/d66ec4bb-769d-49a7-b287-5b75b5ae85d0;Charlottenlund;32;646711,89;6084152,06;1;1;Blandingsprøve;1;Total;;251;Nitrit+nitrat-N; =;13;mg/l;0,005;0,015;1
Station;10903;Charlottenlund;1.03.01.00;32;646711,89;6084152,06;Lolland;Region Sjælland;Jordvand;Loop 1, Højvads rende;22-08-2024;1;Vandkemi, Jordvand;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/d66ec4bb-769d-49a7-b287-5b75b5ae85d0;Charlottenlund;32;646711,89;6084152,06;1;1;Blandingsprøve;1;Total;;256;Ortho-phosphat-P; =;0,0018;mg/l;0,001;0,003;2
Station;10906;Skelstofte;1.06.01.00;32;646229,4;6083085,52;Lolland;Region Sjælland;Jordvand;Loop 1, Højvads rende;22-08-2024;1;Vandkemi, Jordvand;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/34717411-8351-4989-86f2-961fc8acdc1a;Skelstofte;32;646229,4;6083085,52;1;1;Blandingsprøve;1;Total;;241;Ammoniak+ammonium-N; =;0,004;mg/l;0,003;0,009000000000000001;2
Station;10906;Skelstofte;1.06.01.00;32;646229,4;6083085,52;Lolland;Region Sjælland;Jordvand;Loop 1, Højvads rende;22-08-2024;1;Vandkemi, Jordvand;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/34717411-8351-4989-86f2-961fc8acdc1a;Skelstofte;32;646229,4;6083085,52;1;1;Blandingsprøve;1;Total;;251;Nitrit+nitrat-N; =;27;mg/l;0,005;0,015;2
Station;10906;Skelstofte;1.06.01.00;32;646229,4;6083085,52;Lolland;Region Sjælland;Jordvand;Loop 1, Højvads rende;22-08-2024;1;Vandkemi, Jordvand;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/34717411-8351-4989-86f2-961fc8acdc1a;Skelstofte;32;646229,4;6083085,52;1;1;Blandingsprøve;1;Total;;256;Ortho-phosphat-P; =;0,38;mg/l;0,001;0,003;2
Station;10906;Skelstofte;1.06.01.00;32;646229,4;6083085,52;Lolland;Region Sjælland;Jordvand;Loop 1, Højvads rende;22-08-2024;1;Vandkemi, Jordvand;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/34717411-8351-4989-86f2-961fc8acdc1a;Skelstofte;32;646229,4;6083085,52;1;1;Blandingsprøve;1;Opløst - filtrat fra filtrering;;261;Phosphor, total-P; =;0,37;mg/l;0,003;0,009000000000000001;1
Station;10906;Skelstofte;1.06.01.00;32;646229,4;6083085,52;Lolland;Region Sjælland;Jordvand;Loop 1, Højvads rende;22-08-2024;1;Vandkemi, Jordvand;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/34717411-8351-4989-86f2-961fc8acdc1a;Skelstofte;32;646229,4;6083085,52;1;1;Blandingsprøve;1;Total;;253;Nitrogen,total N; =;27;mg/l;0,02;0,06;2
Station;10906;Skelstofte;1.06.01.00;32;646229,4;6083085,52;Lolland;Region Sjælland;Jordvand;Loop 1, Højvads rende;22-08-2024;1;Vandkemi, Jordvand;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/34717411-8351-4989-86f2-961fc8acdc1a;Skelstofte;32;646229,4;6083085,52;1;1;Blandingsprøve;1;Opløst - filtrat fra filtrering;;256;Ortho-phosphat-P; =;0,39;mg/l;0,001;0,003;2
Station;10907;Egelund;1.07.01.00;32;648540,31;6085509,74;Lolland;Region Sjælland;Jordvand;Loop 1, Højvads rende;22-08-2024;1;Vandkemi, Jordvand;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/3638b89e-d9d9-453f-8704-c5004afa3627;Egelund;32;648540,31;6085509,74;1;1;Blandingsprøve;1;Total;;256;Ortho-phosphat-P; =;0,0011;mg/l;0,001;0,003;2
Station;10907;Egelund;1.07.01.00;32;648540,31;6085509,74;Lolland;Region Sjælland;Jordvand;Loop 1, Højvads rende;22-08-2024;1;Vandkemi, Jordvand;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/3638b89e-d9d9-453f-8704-c5004afa3627;Egelund;32;648540,31;6085509,74;1;1;Blandingsprøve;1;Total;;241;Ammoniak+ammonium-N; =;0,0065;mg/l;0,003;0,009000000000000001;2
