﻿Stedtype;StedID;Stedtekst;GeoZone;x-koordinat;y-koordinat;Kommune;Region;Type;Medie;Vandområde;Dataejer;Ansvarlig Myndighed;Link;Dato;Måling nr;Undersøgelsestype;Målested type;Målested navn;Målested GeoZone;Målested, x-koordinat;Målested, y-koordinat;Prøvetype;Status;Analysefraktion;CASnr;ScKode;Stofparameter;Resultat-attribut;Resultat;Enhed;Kvantifikationsgrænse;Detektionsgrænse;Kvalitetsmærke
Renseanlæg;550762CE-B7F1-4F70-8CB2-7AC8B1C58E9E;ULSTRUP;32;623472,3589946958;6177822,438981338;Kalundborg;Region Sjælland;Renseanlæg;Renseanlæg;Kalundborg Fjord;KALUNDBORG RENSEANLÆG A/S;Kalundborg kommune;https://puls.miljoeportal.dk/wwtps/550762ce-b7f1-4f70-8cb2-7ac8b1c58e9e/examination-details/08603935-6358-4369-8cdf-251da798cc56;22-11-2023;1917452622;;Udløb;ULSTRUP Afløb;32;623443,0000000827;6177723,999999399;Mængdeproportional prøve;Godkendt;Total;;183;Kemisk iltforbrug;;20;mg/l;;5;2
Renseanlæg;550762CE-B7F1-4F70-8CB2-7AC8B1C58E9E;ULSTRUP;32;623472,3589946958;6177822,438981338;Kalundborg;Region Sjælland;Renseanlæg;Renseanlæg;Kalundborg Fjord;KALUNDBORG RENSEANLÆG A/S;Kalundborg kommune;https://puls.miljoeportal.dk/wwtps/550762ce-b7f1-4f70-8cb2-7ac8b1c58e9e/examination-details/49514113-1af4-4a2b-8e00-8ca5c5483cfe;12-06-2024;1673575475;;Udløb;ULSTRUP Afløb;32;623443,0000000827;6177723,999999399;Mængdeproportional prøve;Godkendt;Total;;183;Kemisk iltforbrug;;25;mg/l;;5;2
Renseanlæg;550762CE-B7F1-4F70-8CB2-7AC8B1C58E9E;ULSTRUP;32;623472,3589946958;6177822,438981338;Kalundborg;Region Sjælland;Renseanlæg;Renseanlæg;Kalundborg Fjord;KALUNDBORG RENSEANLÆG A/S;Kalundborg kommune;https://puls.miljoeportal.dk/wwtps/550762ce-b7f1-4f70-8cb2-7ac8b1c58e9e/examination-details/4d080d6d-89b4-4db5-b70a-eb5972f78c5e;12-08-2024;1456988786;;Indløb;ULSTRUP Tilløb;32;623472,3589946958;6177822,438981338;Mængdeproportional prøve;Afventer kontrol;Total;;183;Kemisk iltforbrug;;86;mg/l;;5;1
Renseanlæg;550762CE-B7F1-4F70-8CB2-7AC8B1C58E9E;ULSTRUP;32;623472,3589946958;6177822,438981338;Kalundborg;Region Sjælland;Renseanlæg;Renseanlæg;Kalundborg Fjord;KALUNDBORG RENSEANLÆG A/S;Kalundborg kommune;https://puls.miljoeportal.dk/wwtps/550762ce-b7f1-4f70-8cb2-7ac8b1c58e9e/examination-details/08603935-6358-4369-8cdf-251da798cc56;22-11-2023;1917452622;;Udløb;ULSTRUP Afløb;32;623443,0000000827;6177723,999999399;Mængdeproportional prøve;Godkendt;Total;;176;BI5 modificeret ;;1,1;mg/l;;0,5;2
Renseanlæg;550762CE-B7F1-4F70-8CB2-7AC8B1C58E9E;ULSTRUP;32;623472,3589946958;6177822,438981338;Kalundborg;Region Sjælland;Renseanlæg;Renseanlæg;Kalundborg Fjord;KALUNDBORG RENSEANLÆG A/S;Kalundborg kommune;https://puls.miljoeportal.dk/wwtps/550762ce-b7f1-4f70-8cb2-7ac8b1c58e9e/examination-details/449e22c5-0eeb-4891-beb9-fce7bb1988a2;05-12-2023;763762301;;Indløb;ULSTRUP Tilløb;32;623472,3589946958;6177822,438981338;Tidsproportional prøve;Godkendt;Total;;183;Kemisk iltforbrug;;180;mg/l;;5;2
Renseanlæg;550762CE-B7F1-4F70-8CB2-7AC8B1C58E9E;ULSTRUP;32;623472,3589946958;6177822,438981338;Kalundborg;Region Sjælland;Renseanlæg;Renseanlæg;Kalundborg Fjord;KALUNDBORG RENSEANLÆG A/S;Kalundborg kommune;https://puls.miljoeportal.dk/wwtps/550762ce-b7f1-4f70-8cb2-7ac8b1c58e9e/examination-details/285a8278-91dd-47fe-b4ed-a91fc593602f;19-02-2024;1610183804;;Indløb;ULSTRUP Tilløb;32;623472,3589946958;6177822,438981338;Tidsproportional prøve;Godkendt;Total;;261;Phosphor, total-P;;0,41;mg/l;;0,01;2
Renseanlæg;550762CE-B7F1-4F70-8CB2-7AC8B1C58E9E;ULSTRUP;32;623472,3589946958;6177822,438981338;Kalundborg;Region Sjælland;Renseanlæg;Renseanlæg;Kalundborg Fjord;KALUNDBORG RENSEANLÆG A/S;Kalundborg kommune;https://puls.miljoeportal.dk/wwtps/550762ce-b7f1-4f70-8cb2-7ac8b1c58e9e/examination-details/9ea34e93-f5ef-47e7-b780-7af19e0a508d;18-09-2023;2080840520;;Udløb;ULSTRUP Afløb;32;623443,0000000827;6177723,999999399;Mængdeproportional prøve;Godkendt;Total;;261;Phosphor, total-P;;0,46;mg/l;;0,01;2
Renseanlæg;550762CE-B7F1-4F70-8CB2-7AC8B1C58E9E;ULSTRUP;32;623472,3589946958;6177822,438981338;Kalundborg;Region Sjælland;Renseanlæg;Renseanlæg;Kalundborg Fjord;KALUNDBORG RENSEANLÆG A/S;Kalundborg kommune;https://puls.miljoeportal.dk/wwtps/550762ce-b7f1-4f70-8cb2-7ac8b1c58e9e/examination-details/bac070d1-d49f-4edf-bbe4-a108a1cad4e8;02-04-2024;849477136;;Indløb;ULSTRUP Tilløb;32;623472,3589946958;6177822,438981338;Tidsproportional prøve;Godkendt;Total;;174;BI5;;10;mg/l;;0,5;2
Renseanlæg;550762CE-B7F1-4F70-8CB2-7AC8B1C58E9E;ULSTRUP;32;623472,3589946958;6177822,438981338;Kalundborg;Region Sjælland;Renseanlæg;Renseanlæg;Kalundborg Fjord;KALUNDBORG RENSEANLÆG A/S;Kalundborg kommune;https://puls.miljoeportal.dk/wwtps/550762ce-b7f1-4f70-8cb2-7ac8b1c58e9e/examination-details/cfd9d375-cbdc-4089-913a-a90405b5ddf7;23-10-2023;1362695175;;Udløb;ULSTRUP Afløb;32;623443,0000000827;6177723,999999399;Mængdeproportional prøve;Godkendt;Total;;253;Nitrogen, total N;;14;mg/l;;0,05;2
Renseanlæg;550762CE-B7F1-4F70-8CB2-7AC8B1C58E9E;ULSTRUP;32;623472,3589946958;6177822,438981338;Kalundborg;Region Sjælland;Renseanlæg;Renseanlæg;Kalundborg Fjord;KALUNDBORG RENSEANLÆG A/S;Kalundborg kommune;https://puls.miljoeportal.dk/wwtps/550762ce-b7f1-4f70-8cb2-7ac8b1c58e9e/examination-details/285a8278-91dd-47fe-b4ed-a91fc593602f;19-02-2024;1610183804;;Indløb;ULSTRUP Tilløb;32;623472,3589946958;6177822,438981338;Tidsproportional prøve;Godkendt;Total;;183;Kemisk iltforbrug;;28;mg/l;;5;2
