﻿Stedtype;StedID;Stedtekst;Referencer;GeoZone;x-koordinat;y-koordinat;Kommune;Region;Medie;Vandområde;Dato;Måling nr;Undersøgelsestype;Teknisk anvisning;Dataejer;Link;Målested navn;Målested GeoZone;Målested, x-koordinat;Målested, y-koordinat;Prøvetagning;Prøve;Prøvetype;Delprøve;Sedimentlag-fra (cm);Sedimentlag-til (cm);Analysefraktion;CASnr;ScKode;Stofparameter;Resultat-attribut;Resultat;Enhed;Detektionsgrænse LD;Kvantifikationsgrænse LQ;Kvalitetsmærke
Station;93220011;322 Roskilde Fjord;ROS60;32;692642,6772302547;6178399,248087393;Uden for kommune;Uden for region;Marin;Roskilde Bredning;04-02-2020;1;Næringsstoffer sediment, Marin;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/1bdfd5bb-6dfe-419a-8f48-25a68c229c5c;Aktivitetssted;32;692642,6772302547;6178399,248087393;1;1;Blandingsprøve;1;0;0,5;Ej oplyst;;253;Nitrogen,total N; =;11,9831699957;mg/g TS;9999999;;2
Station;93220011;322 Roskilde Fjord;ROS60;32;692642,6772302547;6178399,248087393;Uden for kommune;Uden for region;Marin;Roskilde Bredning;04-02-2020;1;Næringsstoffer sediment, Marin;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/1bdfd5bb-6dfe-419a-8f48-25a68c229c5c;Aktivitetssted;32;692642,6772302547;6178399,248087393;1;5;Enkeltprøve;3;1;2;Ej oplyst;;39;Glødetab, total; =;241,354090481663;mg/g TS;9999999;;2
Station;93220011;322 Roskilde Fjord;ROS60;32;692642,6772302547;6178399,248087393;Uden for kommune;Uden for region;Marin;Roskilde Bredning;04-02-2020;1;Næringsstoffer sediment, Marin;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/1bdfd5bb-6dfe-419a-8f48-25a68c229c5c;Aktivitetssted;32;692642,6772302547;6178399,248087393;1;5;Enkeltprøve;3;1;2;Ej oplyst;;36;Tørstof,total; =;164,55762120502;mg/g VV;9999999;;2
Station;93220011;322 Roskilde Fjord;ROS60;32;692642,6772302547;6178399,248087393;Uden for kommune;Uden for region;Marin;Roskilde Bredning;04-02-2020;1;Næringsstoffer sediment, Marin;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/1bdfd5bb-6dfe-419a-8f48-25a68c229c5c;Aktivitetssted;32;692642,6772302547;6178399,248087393;1;1;Blandingsprøve;1;0;0,5;Ej oplyst;;261;Phosphor, total-P; =;1,679412788946;mg/g TS;9999999;;2
Station;93220011;322 Roskilde Fjord;ROS60;32;692642,6772302547;6178399,248087393;Uden for kommune;Uden for region;Marin;Roskilde Bredning;04-02-2020;1;Næringsstoffer sediment, Marin;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/1bdfd5bb-6dfe-419a-8f48-25a68c229c5c;Aktivitetssted;32;692642,6772302547;6178399,248087393;1;5;Enkeltprøve;2;1;2;Ej oplyst;;16;Vægtfylde; =;1,133380952381;g/cm3;9999999;;2
Station;93220011;322 Roskilde Fjord;ROS60;32;692642,6772302547;6178399,248087393;Uden for kommune;Uden for region;Marin;Roskilde Bredning;04-02-2020;1;Næringsstoffer sediment, Marin;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/1bdfd5bb-6dfe-419a-8f48-25a68c229c5c;Aktivitetssted;32;692642,6772302547;6178399,248087393;1;5;Enkeltprøve;2;1;2;Ej oplyst;;261;Phosphor, total-P; =;1,24196007115;mg/g TS;9999999;;2
Station;93220011;322 Roskilde Fjord;ROS60;32;692642,6772302547;6178399,248087393;Uden for kommune;Uden for region;Marin;Roskilde Bredning;04-02-2020;1;Næringsstoffer sediment, Marin;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/1bdfd5bb-6dfe-419a-8f48-25a68c229c5c;Aktivitetssted;32;692642,6772302547;6178399,248087393;1;5;Enkeltprøve;2;1;2;Ej oplyst;;39;Glødetab, total; =;221,937344764041;mg/g TS;9999999;;2
Station;93220011;322 Roskilde Fjord;ROS60;32;692642,6772302547;6178399,248087393;Uden for kommune;Uden for region;Marin;Roskilde Bredning;04-02-2020;1;Næringsstoffer sediment, Marin;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/1bdfd5bb-6dfe-419a-8f48-25a68c229c5c;Aktivitetssted;32;692642,6772302547;6178399,248087393;1;5;Enkeltprøve;2;1;2;Ej oplyst;;36;Tørstof,total; =;191,225292405128;mg/g VV;9999999;;2
Station;93220011;322 Roskilde Fjord;ROS60;32;692642,6772302547;6178399,248087393;Uden for kommune;Uden for region;Marin;Roskilde Bredning;04-02-2020;1;Næringsstoffer sediment, Marin;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/1bdfd5bb-6dfe-419a-8f48-25a68c229c5c;Aktivitetssted;32;692642,6772302547;6178399,248087393;1;8;Blandingsprøve;1;4;7;Ej oplyst;;263;Phosphor, Fe-adsorberet; =;0,088903807062;mg/g TS;9999999;;2
Station;93220011;322 Roskilde Fjord;ROS60;32;692642,6772302547;6178399,248087393;Uden for kommune;Uden for region;Marin;Roskilde Bredning;04-02-2020;1;Næringsstoffer sediment, Marin;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/1bdfd5bb-6dfe-419a-8f48-25a68c229c5c;Aktivitetssted;32;692642,6772302547;6178399,248087393;1;7;Blandingsprøve;1;3;4;Ej oplyst;;36;Tørstof,total; =;220,214924063819;mg/g VV;9999999;;2
Station;93220011;322 Roskilde Fjord;ROS60;32;692642,6772302547;6178399,248087393;Uden for kommune;Uden for region;Marin;Roskilde Bredning;04-02-2020;1;Næringsstoffer sediment, Marin;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/1bdfd5bb-6dfe-419a-8f48-25a68c229c5c;Aktivitetssted;32;692642,6772302547;6178399,248087393;1;9;Blandingsprøve;1;7;10;Ej oplyst;;263;Phosphor, Fe-adsorberet; =;0,071857780469;mg/g TS;9999999;;2
Station;93220011;322 Roskilde Fjord;ROS60;32;692642,6772302547;6178399,248087393;Uden for kommune;Uden for region;Marin;Roskilde Bredning;04-02-2020;1;Næringsstoffer sediment, Marin;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/1bdfd5bb-6dfe-419a-8f48-25a68c229c5c;Aktivitetssted;32;692642,6772302547;6178399,248087393;1;5;Enkeltprøve;2;1;2;Ej oplyst;;263;Phosphor, Fe-adsorberet; =;0,404624431208;mg/g TS;9999999;;2
Station;93220011;322 Roskilde Fjord;ROS60;32;692642,6772302547;6178399,248087393;Uden for kommune;Uden for region;Marin;Roskilde Bredning;04-02-2020;1;Næringsstoffer sediment, Marin;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/1bdfd5bb-6dfe-419a-8f48-25a68c229c5c;Aktivitetssted;32;692642,6772302547;6178399,248087393;1;9;Blandingsprøve;1;7;10;Ej oplyst;;16;Vægtfylde; =;1,301570680628;g/cm3;9999999;;2
Station;93220011;322 Roskilde Fjord;ROS60;32;692642,6772302547;6178399,248087393;Uden for kommune;Uden for region;Marin;Roskilde Bredning;04-02-2020;1;Næringsstoffer sediment, Marin;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/1bdfd5bb-6dfe-419a-8f48-25a68c229c5c;Aktivitetssted;32;692642,6772302547;6178399,248087393;1;8;Blandingsprøve;1;4;7;Ej oplyst;;16;Vægtfylde; =;1,223005235602;g/cm3;9999999;;2
Station;93220011;322 Roskilde Fjord;ROS60;32;692642,6772302547;6178399,248087393;Uden for kommune;Uden for region;Marin;Roskilde Bredning;04-02-2020;1;Næringsstoffer sediment, Marin;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/1bdfd5bb-6dfe-419a-8f48-25a68c229c5c;Aktivitetssted;32;692642,6772302547;6178399,248087393;1;2;Blandingsprøve;1;0,5;1;Ej oplyst;;261;Phosphor, total-P; =;1,837901511861;mg/g TS;9999999;;2
Station;93220011;322 Roskilde Fjord;ROS60;32;692642,6772302547;6178399,248087393;Uden for kommune;Uden for region;Marin;Roskilde Bredning;04-02-2020;1;Næringsstoffer sediment, Marin;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/1bdfd5bb-6dfe-419a-8f48-25a68c229c5c;Aktivitetssted;32;692642,6772302547;6178399,248087393;1;6;Blandingsprøve;1;2;3;Ej oplyst;;261;Phosphor, total-P; =;0,974403875159;mg/g TS;9999999;;2
Station;93220011;322 Roskilde Fjord;ROS60;32;692642,6772302547;6178399,248087393;Uden for kommune;Uden for region;Marin;Roskilde Bredning;04-02-2020;1;Næringsstoffer sediment, Marin;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/1bdfd5bb-6dfe-419a-8f48-25a68c229c5c;Aktivitetssted;32;692642,6772302547;6178399,248087393;1;8;Blandingsprøve;1;4;7;Ej oplyst;;36;Tørstof,total; =;257,816049229753;mg/g VV;9999999;;2
Station;93220011;322 Roskilde Fjord;ROS60;32;692642,6772302547;6178399,248087393;Uden for kommune;Uden for region;Marin;Roskilde Bredning;04-02-2020;1;Næringsstoffer sediment, Marin;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/1bdfd5bb-6dfe-419a-8f48-25a68c229c5c;Aktivitetssted;32;692642,6772302547;6178399,248087393;1;5;Enkeltprøve;3;1;2;Ej oplyst;;16;Vægtfylde; =;1,127952380952;g/cm3;9999999;;2
Station;93220011;322 Roskilde Fjord;ROS60;32;692642,6772302547;6178399,248087393;Uden for kommune;Uden for region;Marin;Roskilde Bredning;04-02-2020;1;Næringsstoffer sediment, Marin;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/1bdfd5bb-6dfe-419a-8f48-25a68c229c5c;Aktivitetssted;32;692642,6772302547;6178399,248087393;1;2;Blandingsprøve;1;0,5;1;Ej oplyst;;16;Vægtfylde; =;1,1018125;g/cm3;9999999;;2
Station;93220011;322 Roskilde Fjord;ROS60;32;692642,6772302547;6178399,248087393;Uden for kommune;Uden for region;Marin;Roskilde Bredning;04-02-2020;1;Næringsstoffer sediment, Marin;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/1bdfd5bb-6dfe-419a-8f48-25a68c229c5c;Aktivitetssted;32;692642,6772302547;6178399,248087393;1;7;Blandingsprøve;1;3;4;Ej oplyst;;253;Nitrogen,total N; =;10,787928314513;mg/g TS;9999999;;2
Station;93220011;322 Roskilde Fjord;ROS60;32;692642,6772302547;6178399,248087393;Uden for kommune;Uden for region;Marin;Roskilde Bredning;04-02-2020;1;Næringsstoffer sediment, Marin;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/1bdfd5bb-6dfe-419a-8f48-25a68c229c5c;Aktivitetssted;32;692642,6772302547;6178399,248087393;1;5;Enkeltprøve;1;1;2;Ej oplyst;;39;Glødetab, total; =;216,432712847116;mg/g TS;9999999;;2
Station;93220011;322 Roskilde Fjord;ROS60;32;692642,6772302547;6178399,248087393;Uden for kommune;Uden for region;Marin;Roskilde Bredning;04-02-2020;1;Næringsstoffer sediment, Marin;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/1bdfd5bb-6dfe-419a-8f48-25a68c229c5c;Aktivitetssted;32;692642,6772302547;6178399,248087393;1;5;Enkeltprøve;1;1;2;Ej oplyst;;263;Phosphor, Fe-adsorberet; =;0,201677843559;mg/g TS;9999999;;2
Station;93220011;322 Roskilde Fjord;ROS60;32;692642,6772302547;6178399,248087393;Uden for kommune;Uden for region;Marin;Roskilde Bredning;04-02-2020;1;Næringsstoffer sediment, Marin;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/1bdfd5bb-6dfe-419a-8f48-25a68c229c5c;Aktivitetssted;32;692642,6772302547;6178399,248087393;1;5;Enkeltprøve;3;1;2;Ej oplyst;;261;Phosphor, total-P; =;1,385893748179;mg/g TS;9999999;;2
Station;93220011;322 Roskilde Fjord;ROS60;32;692642,6772302547;6178399,248087393;Uden for kommune;Uden for region;Marin;Roskilde Bredning;04-02-2020;1;Næringsstoffer sediment, Marin;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/1bdfd5bb-6dfe-419a-8f48-25a68c229c5c;Aktivitetssted;32;692642,6772302547;6178399,248087393;1;9;Blandingsprøve;1;7;10;Ej oplyst;;261;Phosphor, total-P; =;0,81569380485;mg/g TS;9999999;;2
Station;93220011;322 Roskilde Fjord;ROS60;32;692642,6772302547;6178399,248087393;Uden for kommune;Uden for region;Marin;Roskilde Bredning;04-02-2020;1;Næringsstoffer sediment, Marin;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/1bdfd5bb-6dfe-419a-8f48-25a68c229c5c;Aktivitetssted;32;692642,6772302547;6178399,248087393;1;6;Blandingsprøve;1;2;3;Ej oplyst;;39;Glødetab, total; =;215,734040266533;mg/g TS;9999999;;2
Station;93220011;322 Roskilde Fjord;ROS60;32;692642,6772302547;6178399,248087393;Uden for kommune;Uden for region;Marin;Roskilde Bredning;04-02-2020;1;Næringsstoffer sediment, Marin;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/1bdfd5bb-6dfe-419a-8f48-25a68c229c5c;Aktivitetssted;32;692642,6772302547;6178399,248087393;1;5;Enkeltprøve;1;1;2;Ej oplyst;;36;Tørstof,total; =;212,724744213768;mg/g VV;9999999;;2
Station;93220011;322 Roskilde Fjord;ROS60;32;692642,6772302547;6178399,248087393;Uden for kommune;Uden for region;Marin;Roskilde Bredning;04-02-2020;1;Næringsstoffer sediment, Marin;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/1bdfd5bb-6dfe-419a-8f48-25a68c229c5c;Aktivitetssted;32;692642,6772302547;6178399,248087393;1;7;Blandingsprøve;1;3;4;Ej oplyst;;39;Glødetab, total; =;213,191462085763;mg/g TS;9999999;;2
Station;93220011;322 Roskilde Fjord;ROS60;32;692642,6772302547;6178399,248087393;Uden for kommune;Uden for region;Marin;Roskilde Bredning;04-02-2020;1;Næringsstoffer sediment, Marin;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/1bdfd5bb-6dfe-419a-8f48-25a68c229c5c;Aktivitetssted;32;692642,6772302547;6178399,248087393;1;5;Enkeltprøve;2;1;2;Ej oplyst;;253;Nitrogen,total N; =;11,612720152933;mg/g TS;9999999;;2
